ENGINE_RUN_TIME,ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,FUEL_TANK,ABSOLUTE_THROTTLE_B,PEDAL_D,PEDAL_E,COMMANDED_THROTTLE_ACTUATOR,FUEL_AIR_COMMANDED_EQUIV_RATIO,ABSOLUTE_BAROMETRIC_PRESSURE,RELATIVE_THROTTLE_POSITION,INTAKE_AIR_TEMP,TIMING_ADVANCE,CATALYST_TEMPERATURE_BANK1_SENSOR1,CATALYST_TEMPERATURE_BANK1_SENSOR2,CONTROL_MODULE_VOLTAGE,COMMANDED_EVAPORATIVE_PURGE,TIME_RUN_WITH_MIL_ON,TIME_SINCE_TROUBLE_CODES_CLEARED,DISTANCE_TRAVELED_WITH_MIL_ON,WARM_UPS_SINCE_CODES_CLEARED,timestamp
959,1740.5,38,20.0,20.784313,87,0.0,0.0,20,70.980392,52.156864,16.078432,31.764706,18.431372,0,100,0.784314,55,11,548.299988,409.399994,13.574,0.0,0,1399,0,48,3/4/2025
907,1108.5,0,20.0,65.490196,85,0.0,-5.46875,43,78.823532,60.784313,27.058823,40.784313,20.392157,0,100,7.843137,55,15,85.0,369.799988,12.812,47.843136,0,1398,0,48,3/4/2025
1807,1453.75,41,25.490196,25.09804,89,0.0,-2.34375,29,68.627449,50.980392,16.078432,31.764706,18.82353,0,100,1.960784,53,8,574.599976,439.399994,13.515,99.215683,0,1413,0,48,3/4/2025
1483,1697.5,48,21.960785,41.568626,87,-1.5625,2.34375,44,76.07843,53.725491,21.568628,37.254902,21.17647,0,102,1.960784,50,21,531.400024,413.100006,13.613,72.15686,0,1407,0,48,3/4/2025
796,1385.75,30,18.431372,25.882353,86,0.0,8.59375,24,72.15686,48.235294,16.078432,31.764706,16.470589,0,100,0.0,52,6,505.099976,391.399994,13.593,0.0,0,1396,0,48,3/4/2025
1734,1432.0,29,19.607843,44.705883,88,-1.5625,-3.90625,38,60.784313,51.372547,18.039215,32.156864,17.254902,0,100,1.568627,51,21,515.900024,404.100006,13.632,44.313725,0,1411,0,48,3/4/2025
508,1636.5,36,17.647058,21.17647,86,0.0,0.0,19,78.823532,50.980392,20.784313,36.470589,18.82353,0,100,0.784314,49,9,526.200012,397.0,13.71,0.0,0,1391,0,48,3/4/2025
456,1848.25,41,21.17647,34.117645,86,0.78125,4.6875,35,74.509804,53.725491,21.568628,31.764706,18.82353,0,100,1.960784,49,10,537.599976,403.5,13.593,73.725487,0,1390,0,48,3/4/2025
539,795.25,0,18.82353,46.274509,88,0.0,-3.125,46,83.137253,50.980392,16.078432,31.764706,18.82353,0,100,0.0,51,-6,511.400024,380.799988,12.871,54.509804,0,1392,0,48,3/4/2025
1678,892.0,0,18.431372,38.823528,89,0.0,0.0,41,67.450981,50.588234,16.078432,31.764706,18.431372,0,100,0.0,51,-2,474.099976,403.899994,10.733435270820664,35.686275,0,1411,0,48,3/4/2025
2175,1961.5,40,22.745098,45.882355,88,-1.5625,3.125,47,65.098038,55.686275,23.529411,39.607841,22.745098,0,101,5.490196,53,23,547.900024,416.299988,10.559243582956483,98.823532,0,1419,0,48,3/4/2025
