ENGINE_RUN_TIME,ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,FUEL_TANK,ABSOLUTE_THROTTLE_B,PEDAL_D,PEDAL_E,COMMANDED_THROTTLE_ACTUATOR,FUEL_AIR_COMMANDED_EQUIV_RATIO,ABSOLUTE_BAROMETRIC_PRESSURE,RELATIVE_THROTTLE_POSITION,INTAKE_AIR_TEMP,TIMING_ADVANCE,CATALYST_TEMPERATURE_BANK1_SENSOR1,CATALYST_TEMPERATURE_BANK1_SENSOR2,CONTROL_MODULE_VOLTAGE,COMMANDED_EVAPORATIVE_PURGE,TIME_RUN_WITH_MIL_ON,TIME_SINCE_TROUBLE_CODES_CLEARED,DISTANCE_TRAVELED_WITH_MIL_ON,WARM_UPS_SINCE_CODES_CLEARED,timestamp
969,1964.75,56,20.392157,29.803921,87,1.5625,1.5625,31.0,35.686275,50.588234,18.039215,35.294117,20.0,0,102,0.0,44,29,572.299988,447.799988,13.671,74.117645,0,9144,0,255,3/7/2025
752,1855.25,51,25.09804,59.215687,86,-3.125,2.34375,66.0,34.509804,56.07843,23.529411,39.607841,22.745098,0,102,3.921569,45,14,541.200012,418.100006,13.652,83.529411,0,9140,0,255,3/7/2025
556,832.0,18,16.470589,26.274509,87,-2.34375,3.125,27.0,12.941176,48.235294,16.078432,31.764706,16.470589,0,101,0.0,43,1,526.0,395.700012,13.71,13.333333,0,9137,0,255,3/7/2025
1246,2199.0,44,23.529411,36.470589,86,0.0,1.5625,50.0,30.980392,56.470589,23.921568,40.0,23.137255,0,102,4.313725,49,24,572.799988,459.200012,13.593,0.0,0,9148,0,255,3/7/2025
28,990.5,0,19.607843,38.039215,35,0.0,0.0,38.0,36.07843,52.156864,16.078432,31.764706,20.0,0,100,0.784314,28,6,171.699997,31.5,14.14,0.0,0,9128,0,255,3/7/2025
853,1789.75,49,21.960785,47.843136,88,32.80390425281937,-4.6875,74.02274730776786,36.862743,58.039215,26.274509,42.35294,24.313726,0,102,7.45098,45,23,574.0,440.100006,13.652,26.274509,0,9142,0,255,3/7/2025
1302,1885.75,41,20.784313,28.235294,88,0.78125,4.6875,29.0,36.862743,53.333332,21.568628,37.64706,20.392157,0,102,2.352941,49,28,511.5,421.200012,13.632,0.0,0,9149,0,255,3/7/2025
1609,1673.25,46,20.0,30.588236,86,0.78125,0.78125,32.0,29.411764,52.549019,22.352942,38.431374,20.0,0,102,1.568627,48,27,544.400024,398.899994,13.671,75.294121,0,9154,0,255,3/7/2025
1693,1178.0,17,20.0,29.803921,87,-2.34375,3.125,30.0,29.019608,52.549019,20.392157,36.07843,20.0,0,102,1.176471,48,17,512.299988,394.899994,13.613,25.09804,0,9156,0,255,3/7/2025
109,869.5,0,18.82353,37.64706,54,0.0,-7.03125,37.0,36.862743,50.980392,16.078432,31.764706,18.82353,0,100,0.0,30,4,406.0,115.199997,13.945,0.0,0,9129,0,255,3/7/2025
1593,1604.5,45,19.607843,28.235294,86,0.78125,1.5625,30.0,29.019608,52.156864,21.568628,37.64706,19.607843,0,102,0.784314,48,26,541.0,397.700012,13.671,67.84314,0,9154,0,255,3/7/2025
1490,1432.75,41,16.862745,21.960785,87,-2.34375,-2.34375,21.0,29.019608,49.019608,16.078432,31.764706,17.254902,0,102,0.0,50,11,544.5,410.799988,13.613,0.0,0,9152,0,255,3/7/2025
1673,1452.25,31,17.254902,19.215687,89,23.392994277429302,0.0,66.46141470471017,30.196079,49.803921,16.078432,31.764706,17.647058,0,102,0.0,46,7,529.799988,397.200012,13.613,0.0,0,9155,0,255,3/7/2025
515,1337.5,38,18.82353,25.882353,87,33.77689371420298,3.125,72.97724462011449,36.862743,52.941177,22.745098,38.823528,20.392157,0,101,1.568627,42,21,553.299988,410.299988,13.75,41.960785,0,9136,0,255,3/7/2025
428,1370.25,39,18.82353,27.058823,87,-2.34375,1.5625,28.0,34.509804,50.980392,16.078432,31.764706,18.82353,0,101,0.0,38,5,572.900024,430.5,13.691,13.333333,0,9135,0,255,3/7/2025
1676,1260.75,26,18.431372,24.705883,88,1.5625,4.6875,26.0,32.941177,49.803921,20.0,35.686275,17.647058,0,102,0.0,48,19,527.900024,398.5,13.691,0.0,0,9156,0,255,3/7/2025
1763,1324.0,29,22.352942,49.803921,86,0.0,0.0,55.0,29.411764,54.901962,25.09804,41.176472,21.960785,0,102,3.921569,50,16,520.5,385.799988,13.652,0.0,0,9157,0,255,3/7/2025
569,889.75,8,18.431372,36.862743,88,-2.34375,0.0,37.0,36.862743,50.588234,16.078432,31.764706,18.431372,0,101,0.0,43,0,513.200012,384.600006,13.593,29.803921,0,9137,0,255,3/7/2025
144,1470.25,41,20.392157,34.509804,62,0.78125,-10.9375,34.0,38.039215,53.725491,20.784313,36.862743,20.784313,0,100,1.960784,31,25,490.700012,200.899994,13.964,0.0,0,9130,0,255,3/7/2025
173,1072.5,28,27.058823,86.666664,67,34.45700985200366,-7.8125,64.76068354110797,26.274509,61.568626,28.627451,44.705883,25.882353,0,100,10.196078,32,-9,516.599976,272.600006,13.945,0.0,0,9130,0,255,3/7/2025
1474,1499.0,42,20.784313,31.764706,87,0.0,0.78125,36.0,32.156864,53.333332,21.568628,37.64706,20.784313,0,102,1.960784,50,23,546.0,414.700012,13.574,86.666664,0,9152,0,255,3/7/2025
954,1950.0,55,20.784313,32.941177,86,0.78125,1.5625,32.0,38.039215,52.941177,21.568628,37.64706,20.392157,0,102,1.960784,44,28,564.099976,448.799988,13.71,51.372547,0,9143,0,255,3/7/2025
703,1480.25,41,22.352942,56.862743,87,25.064135227477955,-6.25,64.406009150584,33.333332,55.686275,25.09804,41.176472,22.745098,0,102,3.921569,45,18,561.700012,427.399994,13.671,100.0,0,9139,0,255,3/7/2025
1242,2185.75,47,19.607843,32.549019,86,25.903283831305558,-0.78125,60.37811733084236,29.411764,53.725491,21.17647,37.254902,20.784313,0,102,1.960784,49,30,573.0,459.100006,13.593,27.843138,0,9148,0,255,3/7/2025
417,1397.5,40,20.392157,36.470589,86,0.0,3.90625,36.0,39.215687,52.941177,20.0,36.07843,20.392157,0,100,2.745098,38,21,565.5,426.399994,13.691,21.17647,0,9134,0,255,3/7/2025
547,939.75,37,18.82353,35.686275,86,-2.34375,0.78125,37.0,34.509804,50.980392,16.078432,31.764706,18.82353,0,101,0.0,43,0,534.5,402.0,13.671,0.0,0,9137,0,255,3/7/2025
124,644.5,0,18.82353,48.235294,56,-2.34375,-7.8125,49.0,35.294117,50.980392,16.078432,31.764706,18.82353,0,100,0.0,30,12,414.899994,129.699997,13.593,0.0,0,9130,0,255,3/7/2025
